year_id,Grade_id,Location_id,Math Number Tested,Math Mean Scale Score,ELA Number Tested,ELA Mean Scale Score
11,4,10003,57,305.3157959,57,300.0175476
12,4,10003,43,296.1395264,42,294.8571472
13,4,10003,55,297.345459,55,302.5090942
14,4,10003,52,285.9423218,54,298.277771
15,4,10003,32,585.5625,31,594.2903442
16,4,10003,36,588.222229,37,588.189209
17,4,10003,42,576.833313,40,591.5499878
10,5,10003,44,304.3863525,43,291.2092896
11,5,10003,54,293.8518372,55,289.7818298
12,5,10003,59,297.9830627,56,300.41070560000003
13,5,10003,48,286.5416565,47,301.3191528
14,5,10003,50,289.480011,55,309.9272766
15,5,10003,54,591.8518677,52,598.0
16,5,10003,29,593.0689697,32,596.84375
10,0,10004,19,282.8421021,19,287.7894592
11,0,10004,18,307.8888855,17,294.1176453
12,0,10004,17,285.4705811,17,294.2941284
13,0,10004,21,310.3333435,21,322.28570560000003
14,0,10004,26,303.2307739,26,321.7692261
15,0,10004,19,602.1578979,19,601.5789185
16,0,10004,32,591.1875,32,600.125
17,0,10004,18,595.5,17,599.0
10,1,10004,21,276.28570560000003,21,291.28570560000003
11,1,10004,18,311.722229,17,291.8235168
12,1,10004,13,314.7692261,13,288.9230652
13,1,10004,15,303.1333313,15,308.2666626
14,1,10004,19,314.8421021,19,330.3157959
15,1,10004,23,603.043457,23,608.9130249
16,1,10004,23,594.5652466,24,596.958313
10,2,10004,22,299.1818237,22,287.8636475
11,2,10004,17,281.5294189,17,284.0588379
12,2,10004,20,302.8500061,20,294.8999939
13,2,10004,12,322.1666565,12,300.5
14,2,10004,20,309.3999939,18,321.944458
15,2,10004,22,601.5,22,609.4545288
16,2,10004,23,599.8261108,23,603.8695679
17,2,10004,12,581.25,13,592.0769043
10,0,10005,32,275.25,30,287.8999939
11,0,10005,43,297.883728,43,290.674408
12,0,10005,40,302.25,40,294.0750122
13,0,10005,31,292.8064575,29,297.5517273
14,0,10005,27,299.0,27,310.444458
15,0,10005,24,591.625,26,591.8846436
16,0,10005,26,599.2307739,26,606.2692261
17,0,10005,32,580.9375,31,591.5484009
10,1,10005,41,279.5365906,41,278.2438965
11,1,10005,32,289.65625,32,283.84375
12,1,10005,41,298.2926941,40,292.8999939
13,1,10005,40,292.9249878,40,302.25
14,1,10005,30,299.2999878,29,296.7241516
15,1,10005,30,594.5666504,28,604.9285889
16,1,10005,27,593.9629517,26,599.2692261
17,1,10005,29,582.6896362,29,584.4827881
10,2,10005,39,290.2307739,39,295.6923218
11,2,10005,38,291.7894592,37,289.4324341
12,2,10005,38,287.1578979,37,284.5946045
13,2,10005,44,299.3863525,42,293.0476074
14,2,10005,44,294.8863525,43,301.325592
15,2,10005,32,590.1875,32,590.875
16,2,10005,28,596.6428833,29,598.4138184
17,2,10005,35,585.6571655,35,594.7999878
10,0,10006,54,321.5185242,54,313.0370483
11,0,10006,69,319.144928,69,307.9855042
12,0,10006,50,318.5,49,303.6734619
13,0,10006,81,329.2469177,81,323.8641968
14,0,10006,59,338.5084839,59,333.1864319
15,0,10006,43,619.9767456,45,615.9111328
16,0,10006,49,615.755127,48,610.4375
17,0,10006,41,605.8048706,40,606.5499878
10,1,10006,48,319.75,48,313.4791565
11,1,10006,53,319.0943298,53,306.6981201
12,1,10006,64,325.890625,64,308.75
13,1,10006,49,329.0612183,49,323.4285583
14,1,10006,72,336.722229,72,328.2083435
15,1,10006,57,613.7719116,57,614.0350952
16,1,10006,42,617.5714111,42,616.4761963
17,1,10006,43,598.2790527,44,600.3636475
10,2,10006,65,323.553833,65,313.21539310000003
11,2,10006,45,325.777771,45,303.5777893
12,2,10006,53,330.1509399,54,311.6666565
13,2,10006,65,318.7384644,65,306.6923218
14,2,10006,45,334.777771,47,332.0851135
15,2,10006,68,613.6617432,69,610.6376953
16,2,10006,53,614.0943604,54,617.0184937
17,2,10006,40,606.9000244,41,606.6097412
10,0,10007,51,304.4902039,50,291.9200134
11,0,10007,44,303.4545593,44,292.5909119
12,0,10007,44,297.1136475,43,281.2558289
13,0,10007,36,297.555542,35,295.4857178
14,0,10007,49,280.8979492,50,287.8800049
15,0,10007,47,592.2766113,47,595.3191528
16,0,10007,38,595.7105103,38,596.7631836
17,0,10007,29,582.0,31,592.1613159
10,1,10007,61,293.9016418,59,288.8305054
11,1,10007,41,305.9512329,42,291.71429439999997
12,1,10007,35,298.4571533,35,286.7999878
13,1,10007,43,284.6511536,43,289.2790833
14,1,10007,49,285.5306091,48,293.625
15,1,10007,47,589.1702271,47,591.1276855
16,1,10007,47,590.4680786,47,595.8297729
17,1,10007,25,574.4000244,25,583.6400146
10,2,10007,39,296.0256348,38,289.6052551
11,2,10007,53,301.1697998,52,290.884613
12,2,10007,39,313.1025696,39,296.8461609
13,2,10007,34,319.2647095,34,311.2352905
14,2,10007,63,288.2063599,64,282.109375
15,2,10007,51,582.0,49,590.9387817
16,2,10007,45,591.0888672,47,592.8510742
17,2,10007,27,583.3703613,25,596.1599731
10,0,10008,31,272.9032288,31,288.612915
11,0,10008,26,270.0769348,27,263.8518372
12,0,10008,30,275.2000122,27,282.0
13,0,10008,28,274.9285583,28,295.1785583
14,0,10008,24,268.375,25,288.8399963
15,0,10008,20,578.8499756,20,583.75
16,0,10008,21,578.5238037,17,587.1764526
17,0,10008,18,591.888916,18,593.555542
10,1,10008,25,282.2000122,24,286.0833435
11,1,10008,31,289.2580566,31,291.7096863
12,1,10008,24,275.5833435,24,270.25
13,1,10008,32,277.78125,31,284.0
14,1,10008,28,268.1428528,29,285.9310303
15,1,10008,20,580.0499878,20,588.5
16,1,10008,17,584.4117432,17,580.3529663
17,1,10008,22,582.5908813,22,590.1818237
10,2,10008,25,260.5599976,25,280.8800049
11,2,10008,24,280.625,24,276.0833435
12,2,10008,25,306.0400085,25,282.7999878
13,2,10008,21,285.8095093,21,276.8095093
14,2,10008,29,285.8620605,29,293.4827576
15,2,10008,25,587.4799805,25,595.1599731
16,2,10008,19,586.4210815,19,594.3684082
17,2,10008,18,582.777771,18,592.111084
10,3,10008,58,290.9482727,58,283.7241516
11,3,10008,58,291.3103333,57,283.9473572
12,3,10008,50,290.3800049,48,280.3541565
13,3,10008,56,302.0178528,54,289.444458
14,3,10008,48,285.5416565,48,294.7291565
15,3,10008,55,591.8727417,57,595.4210815
16,3,10008,52,587.9807739,52,589.0192261
17,3,10008,48,588.229187,48,595.4375
10,4,10008,63,278.2380981,63,279.2380981
11,4,10008,57,291.4561462,55,292.2909241
12,4,10008,56,292.83929439999997,54,287.2037048
13,4,10008,46,282.7608643,47,295.8510742
14,4,10008,57,291.2456055,55,297.4545593
15,4,10008,46,587.7391357,48,592.875
16,4,10008,60,585.416687,60,593.416687
17,4,10008,37,591.5134888,37,602.7026978
10,5,10008,52,281.6730652,52,280.4038391
11,5,10008,61,279.7213135,61,285.9836121
12,5,10008,58,284.9137878,58,290.5517273
13,5,10008,61,281.7704773,61,304.0819702
14,5,10008,49,277.1428528,55,305.7999878
15,5,10008,55,591.6181641,57,597.1578979
16,5,10008,50,598.3800049,51,593.1176758
17,5,10008,37,584.8378296,45,596.3110962
10,0,10009,58,303.4137878,59,291.0
11,0,10009,46,286.6521606,47,277.7446899
12,0,10009,61,289.4098511,61,283.9836121
13,0,10009,38,290.921051,40,296.875
14,0,10009,33,290.3333435,34,310.9117737
15,0,10009,28,595.1428833,29,600.6896362
16,0,10009,36,600.388916,37,599.2432251
17,0,10009,25,578.960022,27,587.0
10,1,10009,54,289.2407532,54,291.8888855
11,1,10009,58,286.1379395,57,292.2807007
12,1,10009,48,271.4166565,46,284.0217285
13,1,10009,55,287.345459,58,295.8103333
14,1,10009,35,287.5428467,34,311.4411621
15,1,10009,34,585.1470337,35,596.7142944
16,1,10009,26,595.4230957,28,600.1785889
10,2,10009,55,282.1091003,54,288.0185242
11,2,10009,51,302.3137207,49,283.71429439999997
12,2,10009,56,293.1785583,56,283.91070560000003
13,2,10009,47,295.0,46,290.1087036
14,2,10009,59,299.1864319,60,293.1666565
15,2,10009,34,590.9117432,35,591.9428711
16,2,10009,36,587.027771,39,593.3076782
17,2,10009,18,598.888916,23,597.5652466
10,0,10010,81,322.7283936,81,315.8395081
11,0,10010,72,333.8333435,72,321.0
12,0,10010,68,332.2794189,68,313.2647095
13,0,10010,59,349.1525574,59,326.5084839
14,0,10010,64,337.609375,64,322.25
15,0,10010,67,612.7313232,65,609.7230835
16,0,10010,52,613.1730957,49,610.244873
17,0,10010,47,610.1276855,46,607.5
10,1,10010,71,334.7464905,70,324.1000061
11,1,10010,83,344.3012085,84,325.6666565
12,1,10010,68,339.0882263,65,324.83078
13,1,10010,61,339.3934326,60,316.5666809
14,1,10010,54,346.0925903,53,332.3018799
15,1,10010,62,611.0806274,61,610.9508057
16,1,10010,64,619.359375,62,613.8709717
17,1,10010,56,616.8392944,56,613.5535889
10,2,10010,56,341.7321472,56,331.4464417
11,2,10010,62,338.5967712,62,318.6774292
12,2,10010,76,352.9736938,74,333.2432556
13,2,10010,65,351.5076904,63,325.0793762
14,2,10010,62,344.9032288,60,321.3999939
15,2,10010,48,625.5,48,611.270813
16,2,10010,63,610.8571167,61,606.704895
17,2,10010,51,615.9607544,51,615.2548828
10,3,10010,57,345.6140442,57,334.2456055
11,3,10010,40,347.0249939,38,329.6842041
12,3,10010,61,340.6393433,60,329.8833313
13,3,10010,82,339.9146423,76,328.8552551
14,3,10010,74,342.9189148,75,312.1733398
15,3,10010,90,615.7888794,85,611.4705811
16,3,10010,88,622.5908813,84,616.0714111
17,3,10010,80,623.3250122,82,614.5365601
10,4,10010,59,340.7627258,59,329.1694946
11,4,10010,59,347.1186523,59,335.5593262
12,4,10010,36,340.3333435,36,322.75
13,4,10010,72,340.7361145,72,327.652771
14,4,10010,83,339.6987915,81,330.1358032
15,4,10010,76,619.0394897,77,613.5064697
16,4,10010,83,621.3734741,81,616.0864258
17,4,10010,88,612.125,87,617.3218384
10,5,10010,55,353.8363647,52,333.6730652
11,5,10010,59,355.0847473,59,333.0847473
12,5,10010,56,359.75,56,338.03570560000003
13,5,10010,48,349.3958435,46,333.1956482
14,5,10010,72,328.694458,73,327.8904114
15,5,10010,84,622.7738037,84,612.8690186
16,5,10010,72,623.222229,76,610.3552856
17,5,10010,80,613.3875122,82,612.512207
10,0,10011,46,279.3695679,45,280.4666748
11,0,10011,48,288.7916565,48,284.375
12,0,10011,38,295.421051,39,278.1794739
13,0,10011,40,288.6000061,40,301.1000061
14,0,10011,47,280.4893494,45,284.8666687
15,0,10011,39,593.3076782,40,602.8499756
16,0,10011,47,595.7872314,43,591.9767456
17,0,10011,32,595.78125,30,585.3666382
10,1,10011,39,274.3333435,39,286.0769348
11,1,10011,48,279.2708435,46,282.0217285
12,1,10011,49,279.8571472,48,278.6875
13,1,10011,38,283.6052551,37,288.4053955
14,1,10011,46,280.2391357,45,285.1777649
15,1,10011,42,592.8095093,41,598.2926636
16,1,10011,33,592.9393921,33,595.6060791
17,1,10011,31,578.8386841,32,588.34375
10,2,10011,37,259.8378296,33,274.8787842
11,2,10011,45,276.2666626,44,272.7045593
12,2,10011,49,286.7550964,48,278.2083435
13,2,10011,50,290.7000122,48,282.9583435
14,2,10011,37,294.9189148,36,284.4166565
15,2,10011,41,592.2438965,41,585.2683105
16,2,10011,48,596.270813,48,591.395813
17,2,10011,34,590.9705811,34,588.3823242
10,3,10011,61,287.4098511,60,273.3666687
11,3,10011,46,295.3043518,43,279.8139648
12,3,10011,52,285.5,50,278.980011
13,3,10011,51,312.8431396,48,298.375
14,3,10011,46,307.3912964,47,287.3829651
15,3,10011,40,607.5750122,39,598.6923218
16,3,10011,41,597.5609741,43,586.2092896
17,3,10011,53,590.9622803,52,593.0576782
10,4,10011,65,278.1384583,63,281.4920654
11,4,10011,65,286.553833,65,274.9076843
12,4,10011,57,294.3333435,54,281.5
13,4,10011,54,295.0370483,54,285.6481628
14,4,10011,52,294.5,51,295.6666565
15,4,10011,50,594.5200195,49,599.8775635
16,4,10011,47,602.2766113,50,600.0200195
17,4,10011,39,596.666687,39,599.0769043
10,5,10011,59,290.3559265,59,279.5593262
11,5,10011,59,294.288147,56,296.0
12,5,10011,61,298.5901489,61,284.3934326
13,5,10011,50,302.4599915,50,293.5599976
14,5,10011,50,285.6600037,49,286.9387817
15,5,10011,53,595.2453003,54,605.0740967
16,5,10011,3,0.0,52,596.7884521
17,5,10011,8,601.875,48,593.75
10,0,10012,37,295.1891785,37,293.8378296
11,0,10012,26,316.2307739,27,295.4814758
12,0,10012,34,320.9705811,34,315.3235168
13,0,10012,35,349.8571472,35,322.0
14,0,10012,35,311.1428528,36,302.944458
15,0,10012,41,609.9755859,41,609.2438965
16,0,10012,38,609.9473877,37,612.5405273
17,0,10012,26,599.3461304,27,606.9259033
10,1,10012,16,328.0,16,317.1875
11,1,10012,35,321.9142761,36,305.0
12,1,10012,18,309.777771,18,305.277771
13,1,10012,31,309.8064575,32,317.25
14,1,10012,36,327.944458,35,328.8857117
15,1,10012,32,600.6875,32,603.78125
16,1,10012,42,605.8095093,43,604.3953247
17,1,10012,29,599.9655151,28,596.6428833
10,2,10012,24,315.1666565,25,316.6799927
11,2,10012,14,338.0,15,325.5333252
12,2,10012,26,335.5769348,26,317.384613
13,2,10012,18,316.8333435,18,307.444458
14,2,10012,35,322.2000122,34,328.4117737
15,2,10012,34,616.7647095,34,615.7941284
16,2,10012,31,607.0968018,32,600.8125
17,2,10012,41,607.4634399,36,613.666687
10,3,10013,29,279.5517273,27,280.4814758
11,3,10013,23,273.3043518,22,292.2727356
12,3,10013,26,268.5,22,282.0454407
13,3,10013,37,285.3243103,36,295.027771
14,3,10013,53,266.64151,49,293.0816345
15,3,10013,64,581.4375,64,589.875
16,3,10013,53,584.5094604,55,589.7817993
17,3,10013,33,588.5757446,39,602.1025391
10,4,10013,43,271.4883728,40,276.875
11,4,10013,26,281.5,26,277.384613
12,4,10013,28,278.1428528,27,278.0
13,4,10013,28,273.1428528,27,297.2592468
14,4,10013,59,281.711853,61,296.6557312
15,4,10013,50,586.2999878,52,593.3269043
16,4,10013,68,582.1764526,68,591.25
17,4,10013,43,583.7907104,47,596.8085327
10,5,10013,30,273.9666748,28,273.28570560000003
11,5,10013,46,274.3260803,43,272.8139648
12,5,10013,28,283.3214417,25,284.2000122
13,5,10013,30,254.8000031,28,289.8571472
14,5,10013,64,262.515625,65,291.3384705
15,5,10013,54,586.333313,50,594.3800049
16,5,10013,52,592.9038696,52,596.1153564
17,5,10013,2,0.0,44,596.0227051
10,0,10014,38,299.421051,37,302.8378296
11,0,10014,35,303.5428467,35,308.3143005
12,0,10014,22,310.0454407,23,315.0434875
13,0,10014,22,317.8636475,22,320.1818237
14,0,10014,30,316.8333435,31,329.9354858
15,0,10014,35,599.68573,33,603.4242554
16,0,10014,34,601.4411621,34,607.7352905
17,0,10014,29,597.9655151,30,603.5999756
10,1,10014,40,300.8250122,40,300.3250122
11,1,10014,35,303.342865,34,308.2647095
12,1,10014,35,313.7714233,34,316.7941284
13,1,10014,23,305.4347839,23,317.2608643
14,1,10014,28,298.21429439999997,29,307.5172424
15,1,10014,28,596.9642944,29,608.8965454
16,1,10014,34,596.1176758,34,600.0294189
17,1,10014,30,589.0,31,594.2903442
10,2,10014,23,293.0869446,24,303.1666565
11,2,10014,35,318.4285583,35,300.3714294
12,2,10014,32,316.875,32,312.03125
13,2,10014,31,326.419342,31,323.3548279
14,2,10014,25,313.2399902,25,326.9200134
15,2,10014,27,610.5925903,27,614.0740967
16,2,10014,27,597.2963257,27,607.0740967
17,2,10014,31,601.8386841,32,606.46875
10,0,10015,39,294.6923218,38,286.5
11,0,10015,25,322.7200012,28,293.96429439999997
13,0,10015,9,308.222229,10,306.1000061
14,0,10015,5,0.0,6,318.5
15,0,10015,8,591.375,8,604.125
16,0,10015,12,595.916687,12,592.0
10,1,10015,44,305.0909119,44,305.4772644
11,1,10015,20,305.0,20,308.2000122
12,1,10015,20,311.4500122,21,303.7619019
13,1,10015,6,288.5,6,283.6666565
14,1,10015,17,292.4705811,15,312.0666809
15,1,10015,7,598.8571167,7,608.7142944
16,1,10015,8,590.25,8,599.25
10,2,10015,30,306.9333191,28,304.3571472
11,2,10015,29,305.5862122,28,297.9285583
12,2,10015,15,295.3999939,16,303.3125
13,2,10015,17,300.1176453,17,303.5294189
14,2,10015,7,286.8571472,7,279.8571472
15,2,10015,16,597.25,17,604.5294189
16,2,10015,7,590.2857056,7,606.4285889
10,0,10016,33,294.7272644,33,297.1818237
11,0,10016,30,319.0,29,317.379303
12,0,10016,14,308.6428528,14,304.4285583
13,0,10016,11,314.1818237,11,317.2727356
14,0,10016,15,302.6000061,16,314.5625
15,0,10016,7,588.4285889,8,588.25
16,0,10016,9,580.222229,10,591.2999878
10,1,10016,36,306.6388855,34,311.2941284
11,1,10016,22,303.2727356,23,307.8260803
12,1,10016,19,324.0,19,331.2631531
13,1,10016,13,306.9230652,12,321.25
14,1,10016,11,280.7272644,11,296.1818237
15,1,10016,18,587.888916,18,603.888916
16,1,10016,7,588.5714111,7,588.7142944
17,1,10016,12,592.75,12,593.416687
10,2,10016,27,294.777771,28,305.28570560000003
11,2,10016,18,321.5,18,320.3333435
12,2,10016,9,319.3333435,9,320.1111145
13,2,10016,19,321.5263062,20,319.2000122
14,2,10016,12,308.1666565,12,331.5833435
15,2,10016,13,595.0769043,11,601.4545288
16,2,10016,12,591.0,15,597.2000122
17,2,10016,11,576.9091187,12,589.583313
10,3,10017,63,294.8730164,60,286.1000061
11,3,10017,74,293.8919067,73,287.4109497
12,3,10017,71,303.9013977,71,284.9436646
13,3,10017,84,301.1666565,84,290.46429439999997
14,3,10017,76,287.0131531,76,282.7236938
15,3,10017,59,599.6948853,59,593.0338745
16,3,10017,55,595.0727539,50,595.3599854
17,3,10017,50,598.9000244,47,604.7446899
10,4,10017,85,292.3882446,84,283.46429439999997
11,4,10017,61,295.2786865,61,287.1475525
12,4,10017,70,295.3714294,69,287.4202881
13,4,10017,69,304.3043518,69,296.5507202
14,4,10017,82,299.0365906,81,297.2839355
15,4,10017,72,590.944458,67,595.9403076
16,4,10017,73,595.369873,71,597.8450928
17,4,10017,56,597.3214111,58,600.0516968
10,5,10017,81,301.0617371,81,289.1481628
11,5,10017,84,293.1190491,84,290.21429439999997
12,5,10017,65,296.78460689999997,63,293.28570560000003
13,5,10017,74,300.8783875,73,303.1780701
14,5,10017,75,288.186676,73,303.630127
15,5,10017,80,597.5625,80,593.875
16,5,10017,81,601.4691162,77,593.5324707
17,5,10017,44,598.6363525,43,593.0
10,3,10018,80,305.375,80,310.5249939
11,3,10018,86,310.1511536,86,300.4534912
12,3,10018,93,313.3118286,94,311.9468079
13,3,10018,70,314.5142822,70,313.342865
14,3,10018,83,306.1686707,86,304.4883728
15,3,10018,86,602.7442017,87,602.9655151
16,3,10018,84,604.5476074,86,602.1046753
17,3,10018,60,597.5499878,67,605.8656616
10,4,10018,76,304.171051,76,298.4342041
11,4,10018,79,307.0506287,80,310.4375
12,4,10018,55,310.8363647,56,303.4821472
13,4,10018,78,316.5384521,80,313.9750061
14,4,10018,50,316.5599976,67,324.776123
15,4,10018,71,599.2112427,81,601.0740967
16,4,10018,82,609.2561035,83,610.9879761
17,4,10018,44,597.2954712,43,606.6744385
10,5,10018,60,302.8833313,61,299.0819702
11,5,10018,69,315.1884155,71,306.9859009
12,5,10018,61,323.9836121,64,313.4375
13,5,10018,56,316.9464417,60,307.0499878
14,5,10018,77,305.9869995,80,314.0874939
15,5,10018,60,607.75,62,607.0
16,5,10018,77,609.8051758,79,604.2278442
17,5,10018,36,602.805542,45,604.6889038
10,0,10019,133,360.4962463,133,353.7819519
11,0,10019,110,355.9363708,109,356.7890015
12,0,10019,111,367.7207336,111,356.7207336
13,0,10019,109,365.4587097,110,356.8272705
14,0,10019,112,369.5178528,112,364.4285583
15,0,10019,112,629.9732056,113,632.6548462
16,0,10019,147,628.6598511,146,628.7808228
17,0,10019,108,627.8148193,108,630.4536743
10,1,10019,107,366.8785095,107,353.3738403
11,1,10019,133,366.5864563,134,352.1119385
12,1,10019,107,365.0934448,107,355.7663574
13,1,10019,114,363.7982483,114,349.6754456
14,1,10019,108,360.0092468,108,349.972229
15,1,10019,111,628.7477417,111,631.9729614
16,1,10019,109,630.6605225,109,629.8440552
17,1,10019,100,631.789978,100,634.6300049
10,2,10019,101,349.7722778,101,346.1782227
11,2,10019,107,363.5887756,107,350.3738403
12,2,10019,130,370.7538452,130,349.1461487
13,2,10019,109,370.9724731,109,356.8623962
14,2,10019,109,366.9449463,109,356.3761597
15,2,10019,105,629.5618896,105,630.4000244
16,2,10019,107,633.8504639,107,629.7289429
17,2,10019,104,636.8942261,104,630.7307739
10,3,10019,147,348.71429439999997,147,352.8979492
11,3,10019,146,357.4041138,146,349.6095886
12,3,10019,137,370.6934204,136,353.9632263
13,3,10019,142,370.3591614,142,344.1690063
14,3,10019,140,369.8500061,142,348.4154968
15,3,10019,133,629.2105103,134,630.6716309
16,3,10019,123,626.4634399,125,629.9760132
17,3,10019,125,629.8400269,125,629.8239746
10,4,10019,136,363.1544189,136,353.4044189
11,4,10019,92,350.7065125,136,346.0661621
12,4,10019,101,348.1980286,127,346.2598572
13,4,10019,105,359.2476196,112,351.83929439999997
14,4,10019,128,352.7890625,135,352.7703552
15,4,10019,134,621.6343384,134,627.9850464
16,4,10019,120,630.0666504,124,637.1613159
17,4,10019,90,619.8778076,90,627.1333618
10,5,10019,119,356.8571472,119,346.5714417
10,3,10020,121,299.0413208,121,306.0082703
11,3,10020,115,310.982605,115,307.0608826
12,3,10020,91,311.9230652,91,313.0109863
13,3,10020,97,316.1340332,98,311.5101929
14,3,10020,99,307.2323303,103,313.9417419
15,3,10020,106,598.0755005,108,605.75
16,3,10020,98,605.1122437,99,604.9595947
17,3,10020,82,599.2683105,85,599.4235229
10,4,10020,128,310.90625,128,304.9296875
11,4,10020,115,317.2434692,115,309.9391174
12,4,10020,113,317.4159241,114,309.1228027
13,4,10020,93,314.4838562,93,321.0215149
14,4,10020,107,317.8504639,107,323.2990723
15,4,10020,103,605.6602173,106,607.8113403
16,4,10020,107,605.8598022,110,610.9000244
17,4,10020,75,603.0533447,81,610.2839355
10,5,10020,117,314.6239319,117,307.5982971
11,5,10020,107,320.5420532,110,312.4545593
12,5,10020,48,318.4375,69,318.4347839
13,5,10020,59,300.9321899,75,312.2799988
14,5,10020,31,288.1290283,43,312.5348816
15,5,10020,38,602.0789185,56,602.5714111
16,5,10020,57,609.824585,77,607.7272949
17,5,10020,58,600.3620605,76,605.1842041
10,0,10021,71,312.9295654,67,298.8507385
11,0,10021,77,313.5714417,80,291.1124878
12,0,10021,65,317.9538574,64,298.859375
13,0,10021,51,329.5097961,50,321.5
14,0,10021,49,326.9795837,47,319.0851135
15,0,10021,45,599.888916,44,601.3863525
16,0,10021,42,604.0714111,40,597.5
17,0,10021,25,590.960022,25,589.6400146
10,1,10021,75,313.1199951,71,303.6619568
